รายการเงินสด วันที่,งบปี 2565 (01 ม.ค. 2565 - 31 ธ.ค. 2565),งบปี 2566 (01 ม.ค. 2566 - 31 ธ.ค. 2566),งบปี 2567 (01 ม.ค. 2567 - 31 ธ.ค. 2567),งบ 9 เดือน 2568 (01 ม.ค. 2568 - 30 ก.ย. 2568)
สินทรัพย์รวม,3454452.34,3438721.93,3486539.22,3533711.71
หนี้สินรวม,2987840.45,2954988.62,2991702.15,3041296.16
ส่วนของผู้ถือหุ้น,461231.65,478082.22,488635.60,486162.95
มูลค่าหุ้นที่เรียกชำระแล้ว,33671.07,33671.07,33671.07,33671.07
รายได้รวม,177547.04,210556.79,215706.27,153811.55
กำไร (ขาดทุน) จากกิจกรรมอื่น,6996.20,9313.49,9239.62,13452.72
กำไรสุทธิ,37546.01,43521.33,43943.01,37344.41
กำไรต่อหุ้น (บาท),11.12,12.93,13.05,11.09
ROA (%),2.02,2.67,2.79,2.91
ROE (%),8.14,9.27,9.09,10.18
อัตรากำไรสุทธิ (%),20.91,20.79,20.67,24.69
